5114,5,0.83,5.32,9.47,0,0.008,0.08,0.19,0.3,0.02,火打構面梁せい105mm以上平均負担面積2.5m2以下,,
5110,5,0.3,2,3.3,0,0.01,0.1,0.2,0.3,0.02,火打構面梁せい150mm以上平均負担面積5m2以下,,
5115,5,0.42,1.81,3.37,0,0.01,0.06,0.17,0.3,0.02,火打構面梁せい150mm以上平均負担面積3.3m2以下,,
5111,5,0.7,3,5.6,0,0.01,0.06,0.17,0.3,0.02,火打構面梁せい150mm以上平均負担面積2.5m2以下,,
5112,5,0.5,1.9,3.8,0,0.01,0.06,0.17,0.3,0.02,火打構面梁せい240mm以上平均負担面積5m2以下,,
5113,5,0.9,3.1,5.8,0,0.01,0.06,0.15,0.3,0.02,火打構面梁せい240mm以上平均負担面積3.3m2以下,,
5116,5,1.5,5.18,9.69,0,0.01,0.06,0.15,0.3,0.02,火打構面梁せい240mm以上平均負担面積2.5m2以下,,
5119,5,0.5,3.2,5.7,0,0.008,0.08,0.19,0.3,0.02,火打構面梁せい105mm以上平均負担面積3.3m2以下,,
601,6,0.5,2.5,2.8,0,0.001,0.015,0.05,0.25,0.02,筋かい30×90,,
602,6,0.49,5.39,7.84,3.136,0.0005,0.03,0.11,0.22,0.02,筋かい45×90,,
603,6,0.5,1.7,2,0,0.001,0.015,0.05,0.25,0.02,筋かい15×90,,
604,6,1,3.5,4,0,0.002,0.015,0.05,0.25,0.02,筋かい90×90,,
650,6,0.4,2,2.24,0,0.001,0.015,0.05,0.25,0.02,筋かい30×90端部釘打ち,,
651,6,0.392,4.312,6.272,2.5088,0.0005,0.03,0.11,0.22,0.02,筋かい45×90端部釘打ち,,
652,6,0.5,1.75,2,0,0.002,0.015,0.05,0.25,0.02,筋かい90×90金物なし,,
701,7,1,5.3,6.5,0,0.002,0.035,0.082,0.18,0.02,圧縮筋かい30×90,,
702,7,0.49,8.134,12.25,3.92,0.0005,0.023,0.07,0.22,0.02,圧縮筋かい45×90,,
703,7,1,3.6,4,0,0.006,0.045,0.085,0.18,0.02,筋かい15×90圧縮,,
704,7,3,13,16.5,0,0.005,0.06,0.17,0.3,0.02,筋かい90×90圧縮,,
750,7,0.8,4.24,5.2,,0.002,0.035,0.082,0.18,0.02,圧縮筋かい30×90端部釘打ち,,
751,7,0.392,6.5072,9.8,3.136,0.0005,0.023,0.07,0.22,0.02,圧縮筋かい45×90端部釘打ち,,
752,7,1.5,6.5,8.25,0,0.005,0.06,0.17,0.3,0.02,圧縮筋かい90×90金物なし,,
101,10,7500000,40000,E75,,,,,,,,,
102,10,12000000,40000,E120,,,,,,,,,
6013,10,7000000,27000,すぎ甲種1級,,,,,,,,,
6014,10,7000000,25800,すぎ甲種2級,,,,,,,,,
6015,10,7000000,22200,すぎ甲種3級,,,,,,,,,
6016,10,7000000,21600,すぎ乙種1級,,,,,,,,,
6017,10,7000000,20400,すぎ乙種2級,,,,,,,,,
6018,10,7000000,18000,すぎ乙種3級,,,,,,,,,
6019,10,11000000,38400,ひのき甲種1級,,,,,,,,,
6020,10,11000000,34200,ひのき甲種2級,,,,,,,,,
6021,10,11000000,28800,ひのき甲種3級,,,,,,,,,
6022,10,11000000,30600,ひのき乙種1級,,,,,,,,,
6023,10,11000000,27000,ひのき乙種2級,,,,,,,,,
6024,10,11000000,23400,ひのき乙種3級,,,,,,,,,
6025,10,10000000,33600,あかまつ甲種1級,,,,,,,,,
6026,10,10000000,20400,あかまつ甲種2級,,,,,,,,,
6027,10,10000000,14400,あかまつ甲種3級,,,,,,,,,
6028,10,10000000,26400,あかまつ乙種1級,,,,,,,,,
6029,10,10000000,16800,あかまつ乙種2級,,,,,,,,,
6030,10,10000000,11400,あかまつ乙種3級,,,,,,,,,
6031,10,12000000,34200,べいまつ甲種1級,,,,,,,,,
6032,10,12000000,22800,べいまつ甲種2級,,,,,,,,,
6033,10,12000000,17400,べいまつ甲種3級,,,,,,,,,
6034,10,12000000,27000,べいまつ乙種1級,,,,,,,,,
6035,10,12000000,18000,べいまつ乙種2級,,,,,,,,,
6036,10,12000000,13800,べいまつ乙種3級,,,,,,,,,
6037,10,9500000,29400,からまつ甲種1級,,,,,,,,,
6038,10,9500000,25800,からまつ甲種2級,,,,,,,,,
6039,10,9500000,23400,からまつ甲種3級,,,,,,,,,
6040,10,9500000,23400,からまつ乙種1級,,,,,,,,,
6041,10,9500000,20400,からまつ乙種2級,,,,,,,,,
6042,10,9500000,17400,からまつ乙種3級,,,,,,,,,
6043,10,13000000,36000,ダフリカからまつ甲種1級,,,,,,,,,
6044,10,13000000,31200,ダフリカからまつ甲種2級,,,,,,,,,
6045,10,13000000,27600,ダフリカからまつ甲種3級,,,,,,,,,
6046,10,13000000,28800,ダフリカからまつ乙種1級,,,,,,,,,
6047,10,13000000,25200,ダフリカからまつ乙種2級,,,,,,,,,
6048,10,13000000,22200,ダフリカからまつ乙種3級,,,,,,,,,
6049,10,10000000,34800,ひば甲種1級,,,,,,,,,
6050,10,10000000,34800,ひば甲種2級,,,,,,,,,
6051,10,10000000,29400,ひば甲種3級,,,,,,,,,
6052,10,10000000,28200,ひば乙種1級,,,,,,,,,
6053,10,10000000,27600,ひば乙種2級,,,,,,,,,
6054,10,10000000,20400,ひば乙種3級,,,,,,,,,
6055,10,9500000,26400,べいつが甲種1級,,,,,,,,,
6056,10,9500000,26400,べいつが甲種2級,,,,,,,,,
6057,10,9500000,21600,べいつが甲種3級,,,,,,,,,
6058,10,9500000,21000,べいつが乙種1級,,,,,,,,,
6059,10,9500000,21000,べいつが乙種2級,,,,,,,,,
6060,10,9500000,17400,べいつが乙種3級,,,,,,,,,
6061,10,10000000,34200,えぞまつ甲種1級,,,,,,,,,
6062,10,10000000,28200,えぞまつ甲種2級,,,,,,,,,
6063,10,10000000,17400,えぞまつ甲種3級,,,,,,,,,
6064,10,10000000,27000,えぞまつ乙種1級,,,,,,,,,
6065,10,10000000,22800,えぞまつ乙種2級,,,,,,,,,
6066,10,10000000,9000,えぞまつ乙種3級,,,,,,,,,
6067,10,10000000,34200,とどまつ甲種1級,,,,,,,,,
6068,10,10000000,28200,とどまつ甲種2級,,,,,,,,,
6069,10,10000000,17400,とどまつ甲種3級,,,,,,,,,
6070,10,10000000,27000,とどまつ乙種1級,,,,,,,,,
6071,10,10000000,22800,とどまつ乙種2級,,,,,,,,,
6072,10,10000000,9000,とどまつ乙種3級,,,,,,,,,
6073,10,4900000,24000,すぎE50,,,,,,,,,
6074,10,6900000,29400,すぎE70,,,,,,,,,
6075,10,8800000,34800,すぎE90,,,,,,,,,
6076,10,10800000,40800,すぎE110,,,,,,,,,
6077,10,12700000,46200,すぎE130,,,,,,,,,
6078,10,14700000,51600,すぎE150,,,,,,,,,
6079,10,4900000,13800,ひのきE50,,,,,,,,,
6080,10,6900000,22200,ひのきE70,,,,,,,,,
6081,10,8800000,30600,ひのきE90,,,,,,,,,
6082,10,10800000,38400,ひのきE110,,,,,,,,,
6083,10,12700000,46800,ひのきE130,,,,,,,,,
6084,10,14700000,55200,ひのきE150,,,,,,,,,
6085,10,6900000,12000,あかまつE70,,,,,,,,,
6086,10,8800000,21000,あかまつE90,,,,,,,,,
6087,10,10800000,30600,あかまつE110,,,,,,,,,
6088,10,12700000,39600,あかまつE130,,,,,,,,,
6089,10,14700000,48600,あかまつE150,,,,,,,,,
6090,10,6900000,12000,べいまつE70,,,,,,,,,
6091,10,8800000,21000,べいまつE90,,,,,,,,,
6092,10,10800000,30600,べいまつE110,,,,,,,,,
6093,10,12700000,39600,べいまつE130,,,,,,,,,
6094,10,14700000,48600,べいまつE150,,,,,,,,,
6095,10,6900000,12000,ダフリカからまつE70,,,,,,,,,
6096,10,8800000,21000,ダフリカからまつE90,,,,,,,,,
6097,10,10800000,30600,ダフリカからまつE110,,,,,,,,,
6098,10,12700000,39600,ダフリカからまつE130,,,,,,,,,
6099,10,14700000,48600,ダフリカからまつE150,,,,,,,,,
6100,10,6900000,12000,べいつがE70,,,,,,,,,
6101,10,8800000,21000,べいつがE90,,,,,,,,,
6102,10,10800000,30600,べいつがE110,,,,,,,,,
6103,10,12700000,39600,べいつがE130,,,,,,,,,
6104,10,14700000,48600,べいつがE150,,,,,,,,,
6105,10,6900000,12000,えぞまつE70,,,,,,,,,
6106,10,8800000,21000,えぞまつE90,,,,,,,,,
6107,10,10800000,30600,えぞまつE110,,,,,,,,,
6108,10,12700000,39600,えぞまつE130,,,,,,,,,
6109,10,14700000,48600,えぞまつE150,,,,,,,,,
6110,10,6900000,12000,とどまつE70,,,,,,,,,
6111,10,8800000,21000,とどまつE90,,,,,,,,,
6112,10,10800000,30600,とどまつE110,,,,,,,,,
6113,10,12700000,39600,とどまつE130,,,,,,,,,
6114,10,14700000,48600,とどまつE150,,,,,,,,,
6115,10,4900000,13800,からまつE50,,,,,,,,,
6116,10,6900000,22200,からまつE70,,,,,,,,,
6117,10,8800000,30600,からまつE90,,,,,,,,,
6118,10,10800000,38400,からまつE110,,,,,,,,,
6119,10,12700000,46800,からまつE130,,,,,,,,,
6120,10,14700000,55200,からまつE150,,,,,,,,,
6121,10,4900000,13800,ひばE50,,,,,,,,,
6122,10,6900000,22200,ひばE70,,,,,,,,,
6123,10,8800000,30600,ひばE90,,,,,,,,,
6124,10,10800000,38400,ひばE110,,,,,,,,,
6125,10,12700000,46800,ひばE130,,,,,,,,,
6126,10,14700000,55200,ひばE150,,,,,,,,,
6127,10,17000000,49500,E170－F495対称異等級,,,,,,,,,
6128,10,15000000,43500,E150－F435対称異等級,,,,,,,,,
6129,10,13500000,37500,E135－F375対称異等級,,,,,,,,,
6130,10,12000000,33000,E120－F330対称異等級,,,,,,,,,
6131,10,10500000,30000,E105－F300対称異等級,,,,,,,,,
6132,10,9500000,27000,E95－F270対称異等級,,,,,,,,,
6133,10,8500000,25500,E85－F255対称異等級,,,,,,,,,
6134,10,7500000,24000,E75－F240対称異等級,,,,,,,,,
6135,10,6500000,22500,E65－F225対称異等級,,,,,,,,,
6136,10,6500000,22000,E65－F220対称異等級,,,,,,,,,
6137,10,5500000,20000,E55－F200対称異等級,,,,,,,,,
6138,10,19000000,61500,E190－F615同一等級,,,,,,,,,
